Song ID,Title,Artist,Category,Tempo,Sound,Mood,Year,Artist Tier,Length
KQ0021,Rodeo Moonshine,Tucker Lawson,Power 20-Teens,4,Mainstream,Neutral,2015,Secondary,3:05
KQ0022,Dixie,Merle Boggs,Power 20-Teens,2,Mainstream,Neutral,2012,Secondary,3:36
KQ0023,Front Porch Silver Dollar,Sadie Hart,Power 20-Teens,1,Mainstream,Happy,2015,Secondary,3:43
KQ0024,Tin Roof Blue Jeans,Reba Mae Redding,Power 20-Teens,5,Pop,Sad/Angry,2013,Core,4:03
KQ0025,Small Town Rodeo,Colt Tatum,Power 20-Teens,2,Mainstream,Neutral,2010,Core,3:54
KQ0026,Small Town Homegrown,Reba Mae Delaney,Power 20-Teens,1,Pop,Neutral,2013,Core,2:54
KQ0027,Homegrown Wildflower,Reba Mae Hart,Power 20-Teens,3,Mainstream,Happy,2016,Secondary,4:05
KQ0028,Dirt Road River,Lainey Ryder,Power 20-Teens,4,Mainstream,Sad/Angry,2017,Core,3:41
KQ0029,Midnight Cold Beer,Reba Mae Hart,Power 20-Teens,3,Mainstream,Happy,2013,Core,3:10
KQ0030,Homegrown Honky Tonk,Sterling Underhill,Power 20-Teens,5,Mainstream,Neutral,2012,Core,3:08
KQ0031,Tailgate Honky Tonk,Cash Prescott,Power 20-Teens,5,Mainstream,Neutral,2013,Core,3:16
KQ0032,Amen,Willa Lawson,Power 20-Teens,2,Mainstream,Neutral,2015,Secondary,3:56
KQ0033,Blue Jeans River,Sadie Hart,Power 20-Teens,4,Pop,Neutral,2015,Core,3:57
KQ0034,Cold Beer Midnight,Reba Mae Delaney,Power 20-Teens,2,Mainstream,Happy,2014,Secondary,3:22
KQ0035,Cold Beer Tin Roof,Colt McCrae,Power 20-Teens,2,Pop,Sad/Angry,2018,Core,2:58
KQ0036,Tin Roof,Rhett Redding,Power 20-Teens,3,Mainstream,Neutral,2013,Core,3:31
KQ0037,Two-Lane,Jethro Underhill,Secondary Teens,5,Mainstream,Happy,2018,Core,3:02
KQ0038,Moonshine Tin Roof,Reba Mae Callahan,Secondary Teens,3,Mainstream,Happy,2016,Secondary,3:26
KQ0039,Front Porch Church Bells,Casey McCrae,Secondary Teens,2,Mainstream,Happy,2018,Core,2:56
KQ0040,Firefly Barefoot,Rhett Tatum,Secondary Teens,3,Mainstream,Sad/Angry,2012,Core,3:40
KQ0041,Dashboard Whiskey,Dutch Vann,Secondary Teens,2,Mainstream,Happy,2019,Secondary,4:08
KQ0042,Neon Wildflower,Jethro Vann,Secondary Teens,4,Mainstream,Happy,2014,Core,3:40
KQ0043,Neon Sundown,Reba Mae Tatum,Secondary Teens,2,Mainstream,Neutral,2017,Core,3:51
KQ0044,Wildflower,Sterling Underhill,Secondary Teens,3,Mainstream,Neutral,2011,Secondary,3:14
KQ0045,Wildflower Silver Dollar,Maren Kate Sloane,Secondary Teens,4,Pop,Neutral,2010,Core,2:50
KQ0046,Amen Sundown,Lainey Krause,Secondary Teens,3,Mainstream,Neutral,2010,Secondary,3:06
KQ0047,Tin Roof Church Bells,Merle Prescott,Secondary Teens,4,Pop,Neutral,2019,Core,3:23
KQ0048,Long Gone Cold Beer,Cash Monroe,Secondary Teens,4,Mainstream,Sad/Angry,2012,Secondary,3:45
KQ0049,Backroads Front Porch,Lainey Delaney,Secondary Teens,1,Pop,Happy,2010,Core,3:28
KQ0050,Long Gone,Cash Tatum,Secondary Teens,5,Pop,Neutral,2018,Core,3:53
KQ0051,Whiskey,Colt Redding,Secondary Teens,4,Mainstream,Happy,2018,Secondary,3:10
KQ0052,Silver Dollar Backroads,Colt Redding,Secondary Teens,2,Mainstream,Sad/Angry,2013,Core,3:09
KQ0053,Gravel,Reba Mae Stapleton Jr.,Secondary Teens,3,Mainstream,Neutral,2012,Secondary,3:59
KQ0054,Small Town,Dutch Krause,Secondary Teens,4,Mainstream,Happy,2014,Core,3:33
KQ0055,Gravel Neon,Dolly Jo Prescott,Power 2000s,4,Pop,Happy,2009,Core,3:17
KQ0056,Silver Dollar Tailgate,Lainey Delaney,Power 2000s,4,Mainstream,Neutral,2007,Secondary,4:10
KQ0057,River Tin Roof,Reba Mae Lawson,Power 2000s,4,Mainstream,Neutral,2001,Secondary,3:59
KQ0058,Gravel Firefly,Merle Ryder,Power 2000s,5,Mainstream,Neutral,2000,Core,4:07
KQ0059,Amen Wildflower,Boone Hart,Power 2000s,1,Pop,Neutral,2002,Secondary,3:16
KQ0060,Small Town Dashboard,Shelby Tatum,Power 2000s,2,Pop,Sad/Angry,2001,Secondary,3:32
KQ0061,Cold Beer,Casey Ellison,Power 2000s,3,Pop,Neutral,2008,Secondary,3:03
KQ0062,River Long Gone,June Prescott,Power 2000s,2,Mainstream,Neutral,2002,Secondary,3:25
KQ0063,Small Town Sundown,Rhett Tatum,Power 2000s,1,Mainstream,Neutral,2002,Secondary,3:34
KQ0064,Midnight,Jethro Ellison,Power 2000s,1,Mainstream,Neutral,2004,Core,3:15
KQ0065,Dirt Road,Reba Mae Redding,Power 2000s,2,Pop,Happy,2000,Core,3:22
KQ0066,River Small Town,Tucker Stapleton Jr.,Power 2000s,2,Pop,Sad/Angry,2008,Core,3:54
KQ0067,Dirt Road Firefly,Hank Lee Ryder,Secondary 2000s,4,Mainstream,Sad/Angry,2008,Secondary,3:33
KQ0068,Front Porch,Shelby Redding,Secondary 2000s,2,Mainstream,Neutral,2001,Core,4:10
KQ0069,Rodeo,Cash Ellison,Secondary 2000s,4,Pop,Neutral,2002,Secondary,3:26
KQ0070,Amen Dashboard,Boone Vann,Secondary 2000s,5,Mainstream,Sad/Angry,2002,Core,3:57
KQ0071,Amen Rodeo,Cash Delaney,Secondary 2000s,2,Mainstream,Neutral,2001,Secondary,3:55
KQ0072,Honky Tonk Gravel,Maren Kate Lawson,Secondary 2000s,4,Pop,Neutral,2001,Core,3:09
KQ0073,Midnight Dashboard,Sterling Ellison,Secondary 2000s,1,Mainstream,Neutral,2000,Secondary,3:35
KQ0074,Two-Lane Silver Dollar,Wade Krause,Secondary 2000s,3,Mainstream,Happy,2002,Core,3:28
KQ0075,Silver Dollar Moonshine,Lainey Delaney,Secondary 2000s,2,Mainstream,Sad/Angry,2000,Secondary,3:37
KQ0076,Tin Roof Front Porch,Merle Sloane,Secondary 2000s,2,Mainstream,Neutral,2000,Core,3:41
KQ0077,Small Town Backroads,Rhett Monroe,Secondary 2000s,4,Mainstream,Sad/Angry,2000,Core,3:53
KQ0078,Tin Roof Neon,Wade Delaney,Secondary 2000s,4,Mainstream,Neutral,2001,Secondary,3:19
KQ0079,Barefoot Blue Jeans,Boone Monroe,Power 90s,5,Mainstream,Neutral,1999,Secondary,2:53
KQ0080,Two-Lane Midnight,Sadie Boggs,Power 90s,4,Mainstream,Neutral,1994,Secondary,3:24
KQ0081,Heartland,Cash Lawson,Power 90s,5,Mainstream,Neutral,1998,Core,4:10
KQ0082,Two-Lane Homegrown,Cash Delaney,Power 90s,4,Mainstream,Neutral,1994,Secondary,4:05
KQ0083,Cold Beer Silver Dollar,Willa Whitfield,Power 90s,1,Mainstream,Sad/Angry,1999,Core,3:33
KQ0084,Front Porch Tailgate,Shelby Sloane,Power 90s,3,Mainstream,Neutral,1994,Secondary,3:10
KQ0085,Cold Beer Dashboard,Maren Kate Ryder,Power 90s,5,Pop,Happy,1999,Secondary,3:30
KQ0086,Silver Dollar Front Porch,Reba Mae Hart,Power 90s,3,Pop,Happy,1993,Secondary,4:06
KQ0087,Moonshine Silver Dollar,Colt Hart,Secondary 90s,5,Mainstream,Neutral,1996,Secondary,3:47
KQ0088,Neon Tailgate,Casey McCrae,Secondary 90s,4,Mainstream,Happy,1993,Core,4:10
KQ0089,Dirt Road Heartland,Shelby Vann,Secondary 90s,4,Mainstream,Neutral,1996,Secondary,3:09
KQ0090,Honky Tonk,Sadie Vann,Secondary 90s,5,Pop,Happy,1998,Secondary,2:57
KQ0091,Homegrown Midnight,Shelby Callahan,Secondary 90s,5,Mainstream,Neutral,1996,Core,3:56
KQ0092,Firefly Blue Jeans,Sadie McCrae,Secondary 90s,4,Mainstream,Neutral,1993,Secondary,3:48
KQ0093,Long Gone Dashboard,Tucker Krause,Secondary 90s,1,Mainstream,Happy,1998,Secondary,3:46
KQ0094,Bonfire Heartland,Willa Vann,Secondary 90s,3,Mainstream,Neutral,1998,Secondary,2:52
KQ0095,Rodeo Long Gone,Dutch Delaney,Secondary 90s,4,Mainstream,Happy,1993,Core,3:49
KQ0096,Whiskey Sundown,Sterling Vann,Secondary 90s,3,Mainstream,Happy,1993,Secondary,3:29
KQ0097,Silver Dollar Gravel,Rhett Whitfield,Throwback,2,Mainstream,Neutral,2001,Core,3:41
KQ0098,Sundown Heartland,Cash Monroe,Throwback,5,Pop,Neutral,2005,Secondary,3:31
KQ0099,Barefoot Amen,June Tatum,Throwback,1,Mainstream,Happy,1999,Secondary,3:05
KQ0100,Church Bells Wildflower,Sadie Prescott,Throwback,4,Mainstream,Sad/Angry,1992,Secondary,4:04
KQ0101,Long Gone Tin Roof,Jethro Underhill,Throwback,2,Mainstream,Happy,1997,Core,2:54
KQ0102,Firefly Front Porch,Dolly Jo Delaney,Throwback,3,Mainstream,Neutral,1996,Secondary,3:43
KQ0103,Heartland River,Dolly Jo Hart,Throwback,5,Pop,Neutral,1995,Core,3:10
KQ0104,Blue Jeans,Willa Prescott,Throwback,3,Mainstream,Neutral,1985,Core,3:40
KQ0105,Silver Dollar,Wade Monroe,Throwback,1,Mainstream,Neutral,1996,Core,3:41
KQ0106,Rodeo Front Porch,Merle Lawson,Throwback,4,Mainstream,Neutral,1994,Secondary,3:13
KQ0107,Bonfire,Wade Lawson,Throwback,4,Mainstream,Neutral,1995,Core,3:26
KQ0108,Barefoot Midnight,Hank Lee Prescott,Throwback,1,Mainstream,Neutral,1991,Secondary,4:10
KQ0109,River Gravel,Willa Lawson,Throwback,4,Mainstream,Neutral,1993,Core,3:01
KQ0110,Dixie Long Gone,Shelby Boggs,Throwback,4,Pop,Happy,2005,Secondary,3:58
KQ0111,Small Town Silver Dollar,Reba Mae Sloane,Throwback,3,Mainstream,Neutral,1995,Core,3:12
KQ0112,Bonfire Small Town,Tucker Delaney,Throwback,1,Mainstream,Happy,1999,Secondary,4:01
KQ0113,Bonfire Cold Beer,Jethro Ellison,Throwback,5,Mainstream,Neutral,1993,Secondary,3:42
KQ0114,Moonshine Dirt Road,Maren Kate Underhill,Throwback,3,Mainstream,Sad/Angry,1995,Secondary,3:41
KQ0115,Amen Moonshine,Jethro Delaney,Throwback,4,Pop,Happy,1987,Secondary,3:24
KQ0116,Amen Small Town,Colt Lawson,Throwback,3,Mainstream,Neutral,1986,Core,4:00
KQ0117,Blue Jeans Midnight,Sterling Boggs,Affiliate Fill,1,Pop,Neutral,2018,Core,2:51
KQ0118,Dashboard Homegrown,Sadie Tatum,Affiliate Fill,5,Mainstream,Neutral,2014,Core,3:35
KQ0119,Bonfire Gravel,Dutch Sloane,Affiliate Fill,5,Pop,Happy,2016,Core,4:04
KQ0120,Silver Dollar Rodeo,Jethro Delaney,Affiliate Fill,2,Pop,Neutral,2006,Secondary,3:50
KQ0121,Cold Beer Two-Lane,Sadie Prescott,Affiliate Fill,3,Mainstream,Neutral,2014,Core,3:39
KQ0122,Silver Dollar Sundown,Jethro Ryder,Affiliate Fill,4,Pop,Sad/Angry,2008,Core,3:45
KQ0123,Bonfire Dixie,Willa Ellison,Affiliate Fill,1,Pop,Happy,2011,Secondary,3:16
KQ0124,Midnight Gravel,Sadie Vann,Affiliate Fill,4,Mainstream,Happy,2006,Secondary,3:51
KQ0125,Moonshine Firefly,Merle Lawson,Affiliate Fill,2,Mainstream,Neutral,2012,Secondary,3:24
KQ0126,Church Bells Small Town,Merle Stapleton Jr.,Affiliate Fill,3,Mainstream,Happy,2007,Secondary,4:02
KQ0127,Silver Dollar Two-Lane,Sterling Underhill,Affiliate Fill,3,Mainstream,Neutral,2018,Core,3:40
KQ0128,River Dashboard,Shelby Delaney,Affiliate Fill,3,Pop,Neutral,2009,Secondary,3:55
